id,brand,title,description,price,priceCurrency,cluster_id,label,unseen
96929485,APC,B? L?U ?I?N UPS APC SURT20KRMXLI 20KVA,"Th?ng s? k? thu?t?¨¢nh gi¨¢Output power capacity:16.0 KWatts / 20.0 kVAMax Configurable Power (Watts):16.0 KWatts / 20.0 kVANominal Output Voltage:230VOutput Voltage Note:Configurable for 400 or 415V 3 Phase nominal output voltageOutput Voltage Distortion:Less than 5%Output Frequency (sync to mains):50/60 Hz +/- 3 Hz user adjustable +/- 0.1Other Output Voltages:220, 240Load Crest Factor:3 : 1Topology:Double Conversion OnlineWaveform type:Sine waveOverload Operation:60 seconds @ 125% and 30 seconds @ 150%Output Connections(2) IEC Jumpers (Battery Backup)(8) IEC 320 C19 (Battery Backup)(1) Hard Wire 3-wire (H N + G) (Battery Backup)Bypass:Built-in Static Bypass, Internal Bypass (Automatic and Manual), Optional External BypassInputNominal Input Voltage:230V , 400V 3PHInput frequency:40 - 70 Hz (auto sensing)Input Connections:Hard Wire 3 wire (1PH+N+G), Hard Wire 5-wire (3PH + N + G)Input voltage range for main operations:160 - 280VInput Total Harmonic Distortion:Less than 5% for full loadOther Input Voltages:220, 240Maximum Input Current:115.0AInput Power Factor at Full Load:0.98Batteries & RuntimeBattery type:Maintenance-free sealed Lead-Acid battery with suspended electrolyte : leakproofIncluded Battery Modules:4Typical recharge time:2.5hour(s)Nominal Battery Voltage:+/-192 V (split battery referenced to neutral)Replacement Battery:APCRBC140Expected Battery Life (years):3 - 5RBC Quantity:4Extendable Run Time:1Extended Run Options:APC-Smart-UPS-RT-20kVA-RM-230VEnd of Discharge Battery Voltage:+/-154 VEfficiency in Battery Operation93.0 %Runtime:View Runtime Graph:View Runtime ChartEfficiency:View Efficiency GraphCommunications & ManagementInterface Port(s):DB-9 RS-232 , RJ-45 10/100 Base-T , Smart-SlotPre-Installed SmartSlot? Cards:AP9631Control panel:Multi-function LCD status and control consoleAudible Alarm:Audible and visible alarms : configurable delaysEmergency Power Off (EPO):YesSurge Protection and FilteringFiltering:Full time multi-pole noise filtering : 0.3% IEEE surge let-through : zero clamping response time : meets UL 1449PhysicalMaximum Height:533mm , 53.3CMMaximum Width:432mm , 43.2CMMaximum Depth:773mm , 77.3CMRack Height:12UNet Weight:247.73KGShipping weight:314.09KGShipping Height:990mm , 99.0CMShipping Width:610mm , 61.0CMShipping Depth:1003mm , 100.3CMColor:BlackUnits per Pallet:1.0EnvironmentalOperating Temperature:0 - 40 ¡ãCOperating Relative Humidity:0 - 95% non-condensing %Operating Elevation:0-3000metersStorage Temperature:-15 - 45 ¡ãCStorage Relative Humidity:0 - 95% non-condensing %Storage Elevation:0-15000metersAudible noise at 1 meter from surface of unit:59.0dBAOnline thermal dissipation:3770.0BTU/hrProtection Class:IP 20ConformanceApprovals:BSMI, EN/IEC 62040-2, EN/IEC 62040-1-1, VDEStandard warranty:2 years repair or replaceSustainable Ofer Status:RoHS:CompliantREACHREACH: Contains No SVHCsPEP:Available in Documentation tabEOLI:Available in Documentation tabBattery Directive:CompliantBattery Notes:ts_Battery_Notes",205000000,VND,280415,280415,False
16338439,,WD 4TB My Passport Portable Hard Drive,WD 4TB My Passport Portable Hard DriveWD 4TB My Passport Portable Hard Drive 4TB Storage Capacity Micro-USB 3.0 Interface Bus Powered Data Protection with Hardware Encryption1 Year warranty,16000.00,KES,3880206,3880206,False
83480362,,SEAGATE 16TB 3.5 IRON WOLF PRO NAS HDD SATA 6GBPS,,14114.81,ZAR,40783,40783,False
35541139,Audemars Piguet,Royal Oak Offshore Chronograph in Steel,Royal Oak Offshore Chronograph in Steel on Brown Alligator Leather Strap with Brown Dial,27500,USD,34768783,34768783,False
13150770,Zebra,Zebra TrueColours ix Series Monochrome,,155,NOK,163499,163499,False
29909599,,"Zebra Black Printer Ribbon for P310F, P310C, P420C, P520C & P720C ID Card Printers",,21.51,USD,183681,183681,False
26844226,,WS-C2960X-24PD-L - 24 Port Switch,Cisco Catalyst 2960-X 24 Port 370W PoE LAN Base Ethernet Switch,1364.00,USD,1412234,1412234,False
37083729,,Apple Airpod Pro Wireless Bluetooth IPX4 In-Ear Headphones with Wireless Charging Case - White,"AirPods Pro have been designed to deliver Active Noise Cancellation for immersive sound, Transparency mode so you can hear your surroundings and a customisable fit for all-day comfort.",298.00,CAD,1563974,1563974,False
32292330,SHIMANO,BICYCLE-CHAIN-CN-HG95-SUPER-NARROW-HG-FOR-MTB-10-SPEED-116-LINKS-W/O-END-PIN-W/AMPOULE-TYPE-CONNECT-PIN-X1,"BICYCLE CHAIN, CN-HG95 SUPER NARROW HG FOR MTB 10-SPEED 116 LINKS, W/O END PIN, W/AMPOULE TYPE CONNECT PIN X1, IND.PACK",14.0,OMR,107440,107440,False
52158659,,Apple - AirPods with Charging Case (Latest Model) - White,,119.18,USD,1223297,1223297,False
