id,title,category,brand,modelno,price,name,desc,cluster_id
walmart_53,da-lite da-plex base rear projection screen - 57 3 4 x 77 video format,electronics - general,da-lite,27528,2608.99,da-lite da-plex base rear projection screen - 57 3 4 x 77 video format,,764
amazon_10692,maxwhite vmax2 plus2 series 82 overall height ezelectric motorized screen - 92 diagonal,projection screens,elite,,379.0,maxwhite vmax2 plus2 series 82 overall height ezelectric motorized screen - 92 diagonal,,33
walmart_1334,canon cli-226 black ink tank,printers,canon,,0.0,canon cli-226 black ink tank,,287
walmart_2274,brother tc20 laminated tape cartridge,stationery & office machinery,brother,tc20,29.88,brother tc20 laminated tape cartridge,,457
amazon_9130,fantom mde1000 g-force megadisk 1 tb usb 2.0 esata,computers accessories,micronet,mde1000,170.79,fantom mde1000 g-force megadisk 1 tb usb 2.0 esata,,768
walmart_1230,maxell mygen usb 4gb auto photo backup,usb drives,maxell,665107,26.88,maxell mygen usb 4gb auto photo backup,,397
walmart_1704,pendaflex 15-pocket portafile expanding organizer black,stationery & office machinery,,,16.88,pendaflex 15-pocket portafile expanding organizer black,,213
walmart_1705,marware microshell for ipad black,mp3 accessories,,602956006664,39.99,marware microshell for ipad black,,815
walmart_1349,night owl security products ccd wired color security camera with 60 cable,garden - general,night owl,cam-s420-245a,67.82,night owl security products ccd wired color security camera with 60 cable,,207
walmart_1563,asus f1a75-m pro amd a75 micro atx motherboard,electronics - general,asus,f1a75-m pro,112.0,asus f1a75-m pro amd a75 micro atx motherboard,,265
walmart_836,marware eco-vue for ipad,mp3 accessories,,602956006572,54.99,marware eco-vue for ipad,,178
walmart_1394,joby gorillapod original orange,photography - general,joby,gp1aten,19.94,joby gorillapod original orange,,605
walmart_1080,coby personal mini stereo speaker system csp14,portable audio,coby,csp14,14.0,coby personal mini stereo speaker system csp14,,258
walmart_725,c-line top-load poly sheet protectors heavy gauge letter 200ct,stationery & office machinery,,62097,28.94,c-line top-load poly sheet protectors heavy gauge letter 200ct,,95
amazon_12451,d-link dgs-1005g 5-port gigabit desktop switch,switches,d-link,dgs-1005g,27.88,d-link dgs-1005g 5-port gigabit desktop switch,,247
amazon_284,national brand 56211 - texhide accounting book black burgundy 150 green pages 10 3 8 x 8 3 8,laminating supplies,national,,,national brand 56211 - texhide accounting book black burgundy 150 green pages 10 3 8 x 8 3 8,,832
amazon_13302,vantec nexstar se 2.5-inch sata hard drive rack mrk-515st black,computers accessories,vantec,mrk-515st,10.74,vantec nexstar se 2.5-inch sata hard drive rack mrk-515st black,,489
amazon_21347,wintec filemate 4 gb swivel usb drive - black,usb flash drives,wintec,3fmusb4gwb-r,8.99,wintec filemate 4 gb swivel usb drive - black,,420
walmart_2474,cooler master hyper 212 plus universal cooler,electronics - general,coolermaster,rr-b10-212p-g1,29.99,cooler master hyper 212 plus universal cooler,,498
amazon_18389,new-expo 80054 - low-odor dry erase marker eraser cleaner chisel fine 12 set - san80054,radios,expo,,,new-expo 80054 - low-odor dry erase marker eraser cleaner chisel fine 12 set - san80054,,810
