ltable_id,rtable_id
walmart_53,amazon_17892
amazon_10692,walmart_1426
walmart_1334,amazon_8618
amazon_8618,walmart_2365
walmart_2274,amazon_356
amazon_9130,walmart_483
walmart_1230,amazon_4667
walmart_1704,amazon_16231
walmart_1705,amazon_14645
walmart_1349,amazon_4659
amazon_4659,amazon_12191
walmart_1563,amazon_430
walmart_836,amazon_8739
walmart_1394,amazon_19580
walmart_1080,amazon_14454
walmart_725,amazon_16800
amazon_16800,amazon_16277
amazon_12451,walmart_1997
amazon_284,walmart_413
amazon_13302,walmart_57
amazon_21347,amazon_76
amazon_76,walmart_528
walmart_2474,amazon_14437
amazon_18389,walmart_461
amazon_12093,walmart_1976
walmart_1187,amazon_5479
amazon_9189,walmart_541
walmart_94,amazon_9051
amazon_13422,walmart_975
amazon_3750,walmart_1777
walmart_1751,amazon_20117
walmart_1943,amazon_15780
walmart_2542,amazon_6690
walmart_211,amazon_400
walmart_1506,amazon_16666
amazon_17191,walmart_1246
walmart_1246,amazon_21594
amazon_9386,walmart_1875
walmart_1718,amazon_8845
walmart_2106,amazon_1253
amazon_14943,walmart_1400
walmart_1400,amazon_18727
amazon_17803,walmart_2074
amazon_5991,walmart_734
walmart_2193,amazon_9730
amazon_8386,walmart_345
amazon_21568,walmart_973
amazon_6965,walmart_2140
walmart_137,amazon_21120
amazon_12543,walmart_1525
amazon_10887,walmart_828
amazon_8500,walmart_1937
amazon_6643,walmart_2440
walmart_935,amazon_14800
amazon_17364,amazon_4282
amazon_4282,walmart_15
walmart_15,amazon_17810
walmart_1229,amazon_5842
walmart_1217,amazon_5249
amazon_12161,walmart_1377
walmart_49,amazon_8096
amazon_17899,walmart_2159
amazon_21310,amazon_20713
amazon_20713,walmart_559
amazon_8931,amazon_13029
amazon_13029,walmart_801
walmart_1904,amazon_15684
walmart_512,amazon_9060
walmart_997,amazon_4379
amazon_12700,walmart_1107
amazon_17429,walmart_19
walmart_838,amazon_715
walmart_2013,amazon_9226
amazon_99,walmart_395
walmart_687,amazon_20212
walmart_2252,amazon_16783
walmart_1190,amazon_10706
amazon_13804,walmart_1651
walmart_1083,amazon_20644
amazon_16641,amazon_16807
amazon_16807,walmart_302
amazon_543,walmart_1919
walmart_1207,amazon_6898
amazon_19654,walmart_1439
walmart_709,amazon_1096
walmart_452,amazon_16645
amazon_7383,walmart_898
walmart_898,amazon_15335
amazon_15335,amazon_11343
walmart_2501,amazon_4362
walmart_1090,amazon_16634
amazon_1607,walmart_1813
walmart_1813,amazon_3253
